Container;Number Pallets;Template Number;Packing Date;Label;Commoditty;Variety;Pack;PLU;Quality;Size;Nº Boxes;Grower Code;Growers Name;Exportador;Consignne;Vessel;Pol;Etd;Pod;Eta
TGHU 997453-3;F800730166;;25/08/2017;CIT;Oranges;LANE LATE;N15GR CTN. 15 KG GRANEL CAJA 50*30;4012;1;056;26;LC516;SOCIEDAD AGRICOLA LA CASCADA LIMITADA;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730166;;25/08/2017;CIT;Oranges;LANE LATE;N15GR CTN. 15 KG GRANEL CAJA 50*30;4012;1;056;46;LR521;SOCIEDAD AGRÍCOLA LOS ROBLES;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730174;;25/08/2017;CIT;Oranges;LANE LATE;N15CH CTN. 15 KG GRANEL CAJA 40*30;3107;FCY;064;7;CP107;AGRÍCOLA SAN CARLOS DE POPETA LTDA;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730174;;25/08/2017;CIT;Oranges;LANE LATE;N15CH CTN. 15 KG GRANEL CAJA 40*30;3107;FCY;064;73;LR521;SOCIEDAD AGRÍCOLA LOS ROBLES;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730175;;25/08/2017;CIT;Oranges;LANE LATE;N15GR CTN. 15 KG GRANEL CAJA 50*30;4012;FCY;040;72;LR521;SOCIEDAD AGRÍCOLA LOS ROBLES;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730177;;25/08/2017;CIT;Oranges;LANE LATE;N15GR CTN. 15 KG GRANEL CAJA 50*30;4012;1;040;72;LR521;SOCIEDAD AGRÍCOLA LOS ROBLES;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730180;;25/08/2017;CIT;Oranges;LANE LATE;N15CH CTN. 15 KG GRANEL CAJA 40*30;SPLU;FCY;072;80;LR521;SOCIEDAD AGRÍCOLA LOS ROBLES;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730184;;25/08/2017;CIT;Oranges;LANE LATE;N15GR CTN. 15 KG GRANEL CAJA 50*30;4012;1;040;72;LR521;SOCIEDAD AGRÍCOLA LOS ROBLES;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730185;;25/08/2017;CIT;Oranges;LANE LATE;N15GR CTN. 15 KG GRANEL CAJA 50*30;4012;1;056;72;LR521;SOCIEDAD AGRÍCOLA LOS ROBLES;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730187;;25/08/2017;CIT;Oranges;LANE LATE;N15CH CTN. 15 KG GRANEL CAJA 40*30;4012;FCY;048;80;LR521;SOCIEDAD AGRÍCOLA LOS ROBLES;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730189;;25/08/2017;CIT;Oranges;LANE LATE;N15GR CTN. 15 KG GRANEL CAJA 50*30;4012;FCY;040;72;LR521;SOCIEDAD AGRÍCOLA LOS ROBLES;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730192;;25/08/2017;CIT;Oranges;LANE LATE;N15CH CTN. 15 KG GRANEL CAJA 40*30;4012;FCY;056;80;LR521;SOCIEDAD AGRÍCOLA LOS ROBLES;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730215;;25/08/2017;CIT;Oranges;LANE LATE;N15CH CTN. 15 KG GRANEL CAJA 40*30;3107;1;064;9;LC516;SOCIEDAD AGRICOLA LA CASCADA LIMITADA;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730215;;25/08/2017;CIT;Oranges;LANE LATE;N15CH CTN. 15 KG GRANEL CAJA 40*30;3107;1;064;71;LR521;SOCIEDAD AGRÍCOLA LOS ROBLES;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730276;;28/08/2017;CIT;Oranges;LANE LATE;N15GR CTN. 15 KG GRANEL CAJA 50*30;4012;FCY;048;72;LC516;SOCIEDAD AGRICOLA LA CASCADA LIMITADA;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730279;2761737126;28/08/2017;CIT;Oranges;LANE LATE;N15GR CTN. 15 KG GRANEL CAJA 50*30;4012;FCY;048;72;LC516;SOCIEDAD AGRICOLA LA CASCADA LIMITADA;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730282;;28/08/2017;CIT;Oranges;LANE LATE;N15GR CTN. 15 KG GRANEL CAJA 50*30;4012;FCY;048;72;LC516;SOCIEDAD AGRICOLA LA CASCADA LIMITADA;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730287;;28/08/2017;CIT;Oranges;LANE LATE;N15GR CTN. 15 KG GRANEL CAJA 50*30;4012;FCY;036;72;LR521;SOCIEDAD AGRÍCOLA LOS ROBLES;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730288;2761737133;28/08/2017;CIT;Oranges;LANE LATE;N15GR CTN. 15 KG GRANEL CAJA 50*30;4012;FCY;036;72;LR521;SOCIEDAD AGRÍCOLA LOS ROBLES;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730295;;28/08/2017;CIT;Oranges;LANE LATE;N15GR CTN. 15 KG GRANEL CAJA 50*30;4012;1;048;72;LC516;SOCIEDAD AGRICOLA LA CASCADA LIMITADA;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730317;;28/08/2017;CIT;Oranges;LANE LATE;N15GR CTN. 15 KG GRANEL CAJA 50*30;4012;FCY;048;72;LC516;SOCIEDAD AGRICOLA LA CASCADA LIMITADA;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730323;;28/08/2017;CIT;Oranges;LANE LATE;N15GR CTN. 15 KG GRANEL CAJA 50*30;4012;FCY;036;42;LC516;SOCIEDAD AGRICOLA LA CASCADA LIMITADA;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730323;;28/08/2017;CIT;Oranges;LANE LATE;N15GR CTN. 15 KG GRANEL CAJA 50*30;4012;FCY;036;30;LR521;SOCIEDAD AGRÍCOLA LOS ROBLES;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730927;;25/08/2017;CIT;Oranges;LANE LATE;N15CH CTN. 15 KG GRANEL CAJA 40*30;SPLU;FCY;088;59;LC516;SOCIEDAD AGRICOLA LA CASCADA LIMITADA;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730927;;21/08/2017;CIT;Oranges;LANE LATE;N15CH CTN. 15 KG GRANEL CAJA 40*30;SPLU;FCY;088;4;LR521;SOCIEDAD AGRÍCOLA LOS ROBLES;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
TGHU 997453-3;F800730927;;25/08/2017;CIT;Oranges;LANE LATE;N15CH CTN. 15 KG GRANEL CAJA 40*30;SPLU;FCY;088;17;LR521;SOCIEDAD AGRÍCOLA LOS ROBLES;EXPORTADORA CRISPAGOLD S.A.;CLASSIC HARVEST;MSC SASHA;Valparaiso;10/09/2017;Philadelphia;24/09/2017
